,IMG,time,split
0,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017185.h18v04.061.2021276021325.70.tiff,NDVI,Train
1,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019206.h18v04.061.2020304023219.31.tiff,NDVI,Val
2,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017185.h18v04.061.2021276021824.29.tiff,D,Val
3,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019215.h18v04.061.2020304093159.297.tiff,NDVI,Train
4,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018207.h18v04.061.2021337205355.83.tiff,NDVI,Train
5,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018272.h18v04.061.2021341214735.35.tiff,NDVI,Val
6,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019181.h18v04.061.2020299032816.172.tiff,D,Train
7,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019255.h18v04.061.2020308174507.101.tiff,D,Val
8,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017242.h18v04.061.2021280203913.336.tiff,D,Train
9,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018223.h18v04.061.2021339152438.49.tiff,D,Train
10,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018260.h18v04.061.2021341164831.26.tiff,NDVI,Val
11,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019204.h18v04.061.2020304002057.16.tiff,NDVI,Val
12,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019189.h18v04.061.2020303051542.7.tiff,NDVI,Val
13,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019110.h18v04.061.2020292144116.248.tiff,NDVI,Val
14,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017164.h18v04.061.2021274074835.212.tiff,D,Train
15,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018117.h18v04.061.2021327034114.195.tiff,NDVI,Train
16,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017086.h18v04.061.2021268161909.268.tiff,D,Train
17,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017199.h18v04.061.2021277160541.29.tiff,NDVI,Val
18,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017164.h18v04.061.2021274074339.219.tiff,NDVI,Train
19,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018189.h18v04.061.2021335134044.191.tiff,NDVI,Val
20,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017234.h18v04.061.2021280150139.30.tiff,D,Val
21,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017173.h18v04.061.2021274145842.31.tiff,NDVI,Val
22,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017147.h18v04.061.2021273013104.157.tiff,D,Train
23,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019180.h18v04.061.2020299030153.251.tiff,D,Val
24,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017220.h18v04.061.2021278183620.317.tiff,D,Val
