,LST,NDVI,time,split
0,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019263.h18v04.061.2020309203539.47.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019263.h18v04.061.2020309172654.47.tiff,D,Train
1,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017170.h18v04.061.2021274122342.269.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017170.h18v04.061.2021274122039.269.tiff,D,Train
2,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019185.h18v04.061.2020302073910.99.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019185.h18v04.061.2020302071201.99.tiff,D,Train
3,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017145.h18v04.061.2021272225627.46.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017145.h18v04.061.2021272225209.46.tiff,D,Train
4,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017238.h18v04.061.2021280180332.298.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017238.h18v04.061.2021280180024.298.tiff,D,Train
5,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017287.h18v04.061.2021286061119.86.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017287.h18v04.061.2021286060812.86.tiff,D,Train
6,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018177.h18v04.061.2021335031006.103.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018177.h18v04.061.2021335030514.103.tiff,D,Val
7,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017144.h18v04.061.2021272221614.11.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017144.h18v04.061.2021272221123.11.tiff,D,Train
8,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019273.h18v04.061.2020312104914.15.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019273.h18v04.061.2020312104420.15.tiff,D,Val
9,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017144.h18v04.061.2021272221614.28.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017144.h18v04.061.2021272221123.28.tiff,D,Train
10,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019178.h18v04.061.2020299011833.138.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019178.h18v04.061.2020299004017.138.tiff,D,Val
11,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017110.h18v04.061.2021270202244.86.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017110.h18v04.061.2021270201934.86.tiff,D,Train
12,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019180.h18v04.061.2020299030153.288.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019180.h18v04.061.2020299025236.288.tiff,D,Val
13,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017251.h18v04.061.2021283015951.15.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017251.h18v04.061.2021283015646.15.tiff,D,Train
14,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017023.h18v04.061.2021257013317.23.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017023.h18v04.061.2021257012943.23.tiff,D,Val
15,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019204.h18v04.061.2020304003517.138.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019204.h18v04.061.2020304002057.138.tiff,D,Val
16,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019236.h18v04.061.2020306081506.48.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019236.h18v04.061.2020306080909.48.tiff,D,Val
17,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018181.h18v04.061.2021335061004.87.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018181.h18v04.061.2021335060447.87.tiff,D,Train
18,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018171.h18v04.061.2021334064354.35.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018171.h18v04.061.2021334063951.35.tiff,D,Train
19,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019259.h18v04.061.2020309035110.125.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019259.h18v04.061.2020309034625.125.tiff,D,Val
20,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017241.h18v04.061.2021280201714.176.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017241.h18v04.061.2021280201224.176.tiff,D,Train
21,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018178.h18v04.061.2021335040703.84.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018178.h18v04.061.2021335040332.84.tiff,D,Train
22,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017142.h18v04.061.2021272201155.119.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017142.h18v04.061.2021272200850.119.tiff,D,Train
23,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019176.h18v04.061.2020298232326.136.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019176.h18v04.061.2020298231217.136.tiff,D,Train
24,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017263.h18v04.061.2021284015354.15.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017263.h18v04.061.2021284015043.15.tiff,D,Train
25,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018295.h18v04.061.2021343223617.218.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018295.h18v04.061.2021343223059.218.tiff,D,Train
26,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017170.h18v04.061.2021274122342.16.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017170.h18v04.061.2021274122039.16.tiff,D,Train
27,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019180.h18v04.061.2020299030153.10.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019180.h18v04.061.2020299025236.10.tiff,D,Train
28,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018295.h18v04.061.2021343223617.257.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018295.h18v04.061.2021343223059.257.tiff,D,Val
29,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018111.h18v04.061.2021324073958.212.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018111.h18v04.061.2021324073504.212.tiff,D,Val
30,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018263.h18v04.061.2021341182455.83.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018263.h18v04.061.2021341180221.83.tiff,D,Val
31,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019186.h18v04.061.2020302100901.27.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019186.h18v04.061.2020302095041.27.tiff,D,Train
32,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018323.h18v04.061.2021345131751.9.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018323.h18v04.061.2021345131347.9.tiff,D,Val
33,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018109.h18v04.061.2021324035629.232.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018109.h18v04.061.2021324034424.232.tiff,D,Train
34,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018271.h18v04.061.2021341213252.298.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018271.h18v04.061.2021341212928.298.tiff,D,Val
35,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018251.h18v04.061.2021340125803.64.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018251.h18v04.061.2021340125441.64.tiff,D,Val
36,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018277.h18v04.061.2021341234055.68.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018277.h18v04.061.2021341233734.68.tiff,D,Train
37,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017110.h18v04.061.2021270202244.51.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017110.h18v04.061.2021270201934.51.tiff,D,Val
38,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019177.h18v04.061.2020298234642.85.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019177.h18v04.061.2020298233438.85.tiff,D,Train
39,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017302.h18v04.061.2021288061829.53.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017302.h18v04.061.2021288061532.53.tiff,D,Val
40,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018191.h18v04.061.2021335184713.126.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018191.h18v04.061.2021335184212.126.tiff,D,Val
41,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017162.h18v04.061.2021274065207.31.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017162.h18v04.061.2021274064832.31.tiff,D,Train
42,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018254.h18v04.061.2021341141546.46.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018254.h18v04.061.2021341141227.46.tiff,D,Train
43,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019242.h18v04.061.2020306213128.154.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019242.h18v04.061.2020306212406.154.tiff,D,Train
44,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019236.h18v04.061.2020306081506.121.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019236.h18v04.061.2020306080909.121.tiff,D,Train
45,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019178.h18v04.061.2020299011833.177.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019178.h18v04.061.2020299004017.177.tiff,D,Train
46,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017189.h18v04.061.2021276065604.338.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017189.h18v04.061.2021276065300.338.tiff,D,Train
47,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018199.h18v04.061.2021337063550.338.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018199.h18v04.061.2021337063217.338.tiff,D,Val
48,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018279.h18v04.061.2021342045129.49.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018279.h18v04.061.2021342044713.49.tiff,D,Train
49,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017146.h18v04.061.2021273001741.9.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017146.h18v04.061.2021273001227.9.tiff,D,Train
50,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019278.h18v04.061.2020313023123.15.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019278.h18v04.061.2020313022552.15.tiff,D,Train
51,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2018251.h18v04.061.2021340125803.68.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2018251.h18v04.061.2021340125441.68.tiff,D,Train
52,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2019087.h18v04.061.2020291050642.102.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2019087.h18v04.061.2020291045535.102.tiff,D,Train
