,LST,NDVI
0,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017004.h18v04.061.2021363145140.28.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017004.h18v04.061.2021363144211.28.tiff
1,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017004.h18v04.061.2021363145140.47.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017004.h18v04.061.2021363144211.47.tiff
2,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017004.h18v04.061.2021363145140.85.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017004.h18v04.061.2021363144211.85.tiff
3,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017007.h18v04.061.2021363205021.7.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017007.h18v04.061.2021363193308.7.tiff
4,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017007.h18v04.061.2021363205021.26.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017007.h18v04.061.2021363193308.26.tiff
5,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017007.h18v04.061.2021363205021.45.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017007.h18v04.061.2021363193308.45.tiff
6,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017007.h18v04.061.2021363205021.63.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017007.h18v04.061.2021363193308.63.tiff
7,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017007.h18v04.061.2021363205021.83.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017007.h18v04.061.2021363193308.83.tiff
8,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017007.h18v04.061.2021363205021.88.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017007.h18v04.061.2021363193308.88.tiff
9,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017014.h18v04.061.2021251010559.11.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017014.h18v04.061.2021251010245.11.tiff
10,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017018.h18v04.061.2021256220813.4.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017018.h18v04.061.2021256220453.4.tiff
11,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017020.h18v04.061.2021256231914.27.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017020.h18v04.061.2021256231401.27.tiff
12,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017020.h18v04.061.2021256231914.28.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017020.h18v04.061.2021256231401.28.tiff
13,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017020.h18v04.061.2021256231914.29.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017020.h18v04.061.2021256231401.29.tiff
14,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017020.h18v04.061.2021256231914.219.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017020.h18v04.061.2021256231401.219.tiff
15,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017020.h18v04.061.2021256231914.298.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017020.h18v04.061.2021256231401.298.tiff
16,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017021.h18v04.061.2021256234135.4.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017021.h18v04.061.2021256233745.4.tiff
17,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017021.h18v04.061.2021256234135.5.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017021.h18v04.061.2021256233745.5.tiff
18,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017021.h18v04.061.2021256234135.7.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017021.h18v04.061.2021256233745.7.tiff
19,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017021.h18v04.061.2021256234135.8.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017021.h18v04.061.2021256233745.8.tiff
20,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017021.h18v04.061.2021256234135.9.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017021.h18v04.061.2021256233745.9.tiff
21,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017021.h18v04.061.2021256234135.10.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017021.h18v04.061.2021256233745.10.tiff
22,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017021.h18v04.061.2021256234135.11.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017021.h18v04.061.2021256233745.11.tiff
23,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017021.h18v04.061.2021256234135.12.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017021.h18v04.061.2021256233745.12.tiff
24,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017022.h18v04.061.2021257000847.326.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017022.h18v04.061.2021257000538.326.tiff
25,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017023.h18v04.061.2021257013317.4.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017023.h18v04.061.2021257012943.4.tiff
26,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017023.h18v04.061.2021257013317.5.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017023.h18v04.061.2021257012943.5.tiff
27,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017023.h18v04.061.2021257013317.6.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017023.h18v04.061.2021257012943.6.tiff
28,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017023.h18v04.061.2021257013317.7.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017023.h18v04.061.2021257012943.7.tiff
29,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017023.h18v04.061.2021257013317.8.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017023.h18v04.061.2021257012943.8.tiff
30,data/geotiff/MOD21A1D.061/day/MOD21A1D.A2017023.h18v04.061.2021257013317.9.tiff,data/geotiff/MOD09GQ.061/day/MOD09GQ.A2017023.h18v04.061.2021257012943.9.tiff
